id_municipio,nome_municipio,sigla_uf,regiao,avaliacoes,municipios,risco_medio,risco_observado,risco_ponderado,observado_ponderado,soma_pesos,erro_risco_pp
4202909,Brusque,SC,Sul,1305,1,0.3958235580866319,0.33793103448275863,0.39583877530443934,0.3409773951870854,1863.32,5.789252360387326
3505906,Batatais,SP,Sudeste,475,1,0.3957629019152467,0.4105263157894737,0.3958209303264611,0.41049942118811883,505.0,-1.4763413874226972
4309209,Gravataí,RS,Sul,2356,1,0.3957358500587453,0.5933786078098472,0.3957192504729518,0.5944877653410028,3040.424789,-19.76427577511019
3538600,Piracaia,SP,Sudeste,277,1,0.39560270593828817,0.4259927797833935,0.39560270593828817,0.4254076052702738,305.9999995,-3.0390073845105334
4211900,Palhoça,SC,Sul,1796,1,0.3955976961097056,0.5144766146993318,0.39549382779030345,0.5264613454544331,3236.23,-11.887891858962623
3537800,Piedade,SP,Sudeste,622,1,0.39550131702175195,0.3665594855305466,0.39550131702175195,0.36745700126334296,659.000001,2.8941831491205328
3550407,São Pedro,SP,Sudeste,326,1,0.3953516526499439,0.4110429447852761,0.3953516526499439,0.4183813176788795,371.9999991,-1.5691292135332213
3510302,Capela do Alto,SP,Sudeste,284,1,0.39529323552637985,0.5246478873239436,0.3952932355263798,0.5235955936137462,307.9999986,-12.935465179756378
2102705,Cantanhede,MA,Nordeste,208,1,0.3951642610224786,0.2932692307692308,0.3951642610224786,0.2916497312920562,221.43,10.18950302532478
2108256,Pedro do Rosário,MA,Nordeste,189,1,0.3951642610224786,0.42328042328042326,0.3951642610224786,0.42099274640876116,210.93,-2.8116162257944666
4313409,Novo Hamburgo,RS,Sul,2045,1,0.3951024823165735,0.6264058679706601,0.395135821309657,0.62984051908819,2459.9999933999998,-23.13033856540866
3536703,Pederneiras,SP,Sudeste,400,1,0.3949966772443819,0.535,0.3949966772443819,0.5322791768891312,435.0000001,-14.00033227556181
3517406,Guaíra,SP,Sudeste,306,1,0.3949966772443819,0.46405228758169936,0.394996677244382,0.4650563832732219,322.0000004,-6.905561033731744
2603702,Canhotinho,PE,Nordeste,226,1,0.3946434891503811,0.34513274336283184,0.39464348915038105,0.34508014899761436,238.93,4.951074578754927
2605400,Feira Nova,PE,Nordeste,219,1,0.39464348915038105,0.1643835616438356,0.394643489150381,0.1672696413417303,223.89000000000001,23.025992750654545
3136207,João Monlevade,MG,Sudeste,652,1,0.3944593134084925,0.17024539877300612,0.3945531606495036,0.17250586274122,707.86,22.421391463548638
3516705,Garça,SP,Sudeste,303,1,0.3943961840266308,0.42244224422442245,0.39439618402663085,0.4273067535228622,327.9999987,-2.8046060197791656
3146107,Ouro Preto,MG,Sudeste,607,1,0.3941631732649214,0.25370675453047775,0.395117045780081,0.25752892343018635,679.38,14.045641873444364
