term,coefficient_literacy,coefficient_risk,variant,fold
categorical__sigla_uf_RS,0.3427083188753507,-0.3427083188753507,rede_uf,2
categorical__sigla_uf_SC,0.3210027551948305,-0.3210027551948305,rede_uf,2
categorical__sigla_uf_SE,-0.9469224708711702,0.9469224708711702,rede_uf,2
categorical__sigla_uf_TO,-0.3790555164535398,0.3790555164535398,rede_uf,2
intercept,0.1890315737453709,-0.1890315737453709,rede_uf,2
categorical__rede_nome_Estadual,0.18493365193287054,-0.18493365193287054,completa,0
categorical__rede_nome_Municipal,0.020395804391520556,-0.020395804391520556,completa,0
categorical__sigla_uf_AL,-0.397576537592563,0.397576537592563,completa,0
categorical__sigla_uf_AM,0.042366975053049725,-0.042366975053049725,completa,0
categorical__sigla_uf_AP,-0.3848228164491947,0.3848228164491947,completa,0
categorical__sigla_uf_BA,-0.7151008022034955,0.7151008022034955,completa,0
categorical__sigla_uf_CE,1.5239399079312679,-1.5239399079312679,completa,0
categorical__sigla_uf_ES,0.6759735079245105,-0.6759735079245105,completa,0
categorical__sigla_uf_GO,0.5224880011383553,-0.5224880011383553,completa,0
categorical__sigla_uf_MA,0.20048493794542566,-0.20048493794542566,completa,0
categorical__sigla_uf_MG,0.11452144817039582,-0.11452144817039582,completa,0
categorical__sigla_uf_MS,-0.37865391863269504,0.37865391863269504,completa,0
categorical__sigla_uf_MT,-0.08185514100631833,0.08185514100631833,completa,0
categorical__sigla_uf_PA,-0.2850654026059307,0.2850654026059307,completa,0
categorical__sigla_uf_PB,-0.10130236039150514,0.10130236039150514,completa,0
categorical__sigla_uf_PE,0.2303513399213249,-0.2303513399213249,completa,0
categorical__sigla_uf_PI,0.013457472732022717,-0.013457472732022717,completa,0
categorical__sigla_uf_PR,0.7365432223470766,-0.7365432223470766,completa,0
categorical__sigla_uf_RJ,-0.05735172650878237,0.05735172650878237,completa,0
categorical__sigla_uf_RN,-0.6983516623509778,0.6983516623509778,completa,0
categorical__sigla_uf_RO,0.4340641055568761,-0.4340641055568761,completa,0
categorical__sigla_uf_RS,0.29949104884217903,-0.29949104884217903,completa,0
categorical__sigla_uf_SC,0.12386754080595376,-0.12386754080595376,completa,0
categorical__sigla_uf_SE,-0.9650539025348892,0.9650539025348892,completa,0
categorical__sigla_uf_TO,-0.6470857817638741,0.6470857817638741,completa,0
log__populacao_2021,-0.15387031989962563,0.15387031989962563,completa,0
log__pib_per_capita_2020,0.002204400717928277,-0.002204400717928277,completa,0
shares__participacao_agropecuaria_2020,-0.01738330461368656,0.01738330461368656,completa,0
shares__participacao_servicos_publicos_2020,-0.09318097274247135,0.09318097274247135,completa,0
intercept,0.20585906428847595,-0.20585906428847595,completa,0
categorical__rede_nome_Estadual,0.1707891711784399,-0.1707891711784399,completa,1
categorical__rede_nome_Municipal,-0.0033138396812428285,0.0033138396812428285,completa,1
categorical__sigla_uf_AL,-0.4260594632526634,0.4260594632526634,completa,1
categorical__sigla_uf_AM,-0.12339183402224876,0.12339183402224876,completa,1
categorical__sigla_uf_AP,-0.4781571383372167,0.4781571383372167,completa,1
categorical__sigla_uf_BA,-0.7109519002091226,0.7109519002091226,completa,1
categorical__sigla_uf_CE,1.5861709369577823,-1.5861709369577823,completa,1
categorical__sigla_uf_ES,0.5424546019056677,-0.5424546019056677,completa,1
categorical__sigla_uf_GO,0.47314912695805045,-0.47314912695805045,completa,1
categorical__sigla_uf_MA,0.10505593830778384,-0.10505593830778384,completa,1
categorical__sigla_uf_MG,0.22357791705922278,-0.22357791705922278,completa,1
categorical__sigla_uf_MS,-0.3885329371512319,0.3885329371512319,completa,1
categorical__sigla_uf_MT,-0.04571941162458295,0.04571941162458295,completa,1
categorical__sigla_uf_PA,-0.16110396461511534,0.16110396461511534,completa,1
categorical__sigla_uf_PB,-0.10204637663844225,0.10204637663844225,completa,1
categorical__sigla_uf_PE,0.2129457510990601,-0.2129457510990601,completa,1
categorical__sigla_uf_PI,-0.13800521171060923,0.13800521171060923,completa,1
categorical__sigla_uf_PR,0.7953242413368474,-0.7953242413368474,completa,1
categorical__sigla_uf_RJ,0.12473609912227744,-0.12473609912227744,completa,1
categorical__sigla_uf_RN,-0.6745500023077634,0.6745500023077634,completa,1
categorical__sigla_uf_RO,0.40815709698438785,-0.40815709698438785,completa,1
categorical__sigla_uf_RS,0.27527669808498706,-0.27527669808498706,completa,1
categorical__sigla_uf_SC,0.1932813371617322,-0.1932813371617322,completa,1
categorical__sigla_uf_SE,-1.0159900714176848,1.0159900714176848,completa,1
categorical__sigla_uf_TO,-0.508146102195912,0.508146102195912,completa,1
log__populacao_2021,-0.14216788152461213,0.14216788152461213,completa,1
log__pib_per_capita_2020,0.06665941235277108,-0.06665941235277108,completa,1
shares__participacao_agropecuaria_2020,0.01425038301585997,-0.01425038301585997,completa,1
shares__participacao_servicos_publicos_2020,-0.023314394542165145,0.023314394542165145,completa,1
intercept,0.16800744041338372,-0.16800744041338372,completa,1
categorical__rede_nome_Estadual,0.20101357313663365,-0.20101357313663365,completa,2
categorical__rede_nome_Municipal,-0.000128157933379373,0.000128157933379373,completa,2
categorical__sigla_uf_AL,-0.46679951124982505,0.46679951124982505,completa,2
categorical__sigla_uf_AM,8.824338335617202e-05,-8.824338335617202e-05,completa,2
categorical__sigla_uf_AP,-0.3971386019093031,0.3971386019093031,completa,2
categorical__sigla_uf_BA,-0.6825524881622109,0.6825524881622109,completa,2
categorical__sigla_uf_CE,1.6413552198160457,-1.6413552198160457,completa,2
categorical__sigla_uf_ES,0.4489945561730774,-0.4489945561730774,completa,2
categorical__sigla_uf_GO,0.46384793417153763,-0.46384793417153763,completa,2
categorical__sigla_uf_MA,0.1404000805052324,-0.1404000805052324,completa,2
categorical__sigla_uf_MG,0.1686322074733593,-0.1686322074733593,completa,2
categorical__sigla_uf_MS,-0.3302623734531075,0.3302623734531075,completa,2
categorical__sigla_uf_MT,-0.16748433446183217,0.16748433446183217,completa,2
categorical__sigla_uf_PA,-0.17831158323392554,0.17831158323392554,completa,2
categorical__sigla_uf_PB,-0.13618509660660932,0.13618509660660932,completa,2
categorical__sigla_uf_PE,0.2574165068815135,-0.2574165068815135,completa,2
