threshold,tp,fp,fn,tn,f2,recall,precision,flag_rate
0.6273084154479589,37413,20432,587969,856995,0.07309016700574711,0.05982423542730683,0.6467801884346097,0.038491252048663535
0.6273041697303272,37792,20721,587590,856706,0.0738113178656123,0.060430265022018544,0.645873566557859,0.0389357529799196
0.6272197199036438,38053,20903,587329,856524,0.0743082167277749,0.06084760994080418,0.6454474523373364,0.03923053428612685
0.6271268749956491,38370,21092,587012,856335,0.07491243620631084,0.06135450012952084,0.6452860650499479,0.03956723708734776
0.6270563524894563,38912,21267,586470,856160,0.07594935720595682,0.062221170420638905,0.6466042971800794,0.040044343625836684
0.6268838403987569,39522,21629,585860,855798,0.07711071109569322,0.06319657425381607,0.6463017775670062,0.04069113240604761
0.6268381103604856,39586,21671,585796,855756,0.07723238586147492,0.0632989117051658,0.6462281861664789,0.0407616669849595
0.6267834825383894,39933,21806,585449,855621,0.07789473355682416,0.06385377257420265,0.6468034791622799,0.04108239969284187
0.6266047799193073,40158,21896,585224,855531,0.0783240013387518,0.06421355267660406,0.6471460340993328,0.041292007167910226
0.6265297878773451,40265,21996,585117,855431,0.07852635298770687,0.0643846481030794,0.6467130306291258,0.04142974922295515
0.6264869936219801,42091,22894,583291,854533,0.08200036391789171,0.06730446351190153,0.6477033161498807,0.04324235481687959
0.6262790581882167,42434,22989,582948,854438,0.08265447996475196,0.06785292829022901,0.6486098161197132,0.04353380902030797
0.6259558249383467,42680,23052,582702,854375,0.08312364154779804,0.06824628786885456,0.6493032313028662,0.04373942397204169
0.6259476996911753,42891,23162,582491,854265,0.08352414198422561,0.06858368165377321,0.6493421949040922,0.043953023970444684
0.6258411626493288,43392,23378,581990,854049,0.08447617838739897,0.06938479201512036,0.6498726973191553,0.0444301305089336
0.6256544378964111,43726,23604,581656,853823,0.08510785726575779,0.06991886558935179,0.6494281895143323,0.04480276602016624
0.6256070918889157,44779,24378,580603,853049,0.08709546288246128,0.0716026364685904,0.6474977225732753,0.046018489375562695
0.6254850922571286,45064,24436,580318,852991,0.08763809651236781,0.07205835793163219,0.6484028776978418,0.04624672862619268
0.625179358767582,45665,24697,579717,852730,0.08877712499368169,0.0730193705607133,0.6490008811574429,0.04682032114526863
0.6250450637625353,46182,24904,579200,852523,0.08975695537690458,0.07384606528489787,0.6496637875249698,0.047302085627647955
0.625027125520246,46192,24913,579190,852514,0.08977572782437293,0.07386205551167127,0.6496308276492511,0.04731472861820764
0.6248778342137266,46684,25189,578698,852238,0.09070486877093775,0.07464877466892235,0.649534595745273,0.04782577160504096
0.6248109614687676,46816,25221,578566,852206,0.09095554221478766,0.07485984566233118,0.6498882518705665,0.04793490057618766
0.6247844450790874,47027,25311,578355,852116,0.09135479469405167,0.07519723944724985,0.6501009151483315,0.0481351921634752
0.6244871444915212,50443,27230,574939,850197,0.09778803590724414,0.08065950091304194,0.6494277290693033,0.05168521082852179
0.6244683620467003,50630,27376,574752,850051,0.09813788071799015,0.08095851815370446,0.6490526369766428,0.05190679587359405
0.6240476301712734,52874,28307,572508,849120,0.10236151265976925,0.08454672504165454,0.6513100355994629,0.05401950613817191
0.6239619911838326,57813,31204,567569,846223,0.11158462794508492,0.09244429804503487,0.6494602154644619,0.05923374161320567
0.6236982956665413,57942,31332,567440,846095,0.11182251673420045,0.09265057197041168,0.6490355534646146,0.059404754696039216
0.6234637490043082,58028,31387,567354,846040,0.11198239405498307,0.09278808792066288,0.6489738858133423,0.059498578994403147
0.6231741692230144,58128,31425,567254,846002,0.11216939956720766,0.09294799018839685,0.6490904827308968,0.05959040703109976
0.6228595337882661,58343,31546,567039,845881,0.11256968677754295,0.09329178006402487,0.6490560580271223,0.05981398833783934
0.6227948477336539,59021,32056,566361,845371,0.11382566954858145,0.09437591743926112,0.6480340810522964,0.06060450795809714
0.6227853501569609,59345,32174,566037,845253,0.11443101494110983,0.09489400078671915,0.6484445852773741,0.060898623843748605
0.6226384514276584,59436,32221,565946,845206,0.11460038524054396,0.09503951185035706,0.6484611104443742,0.06099045188044522
0.622440094457201,61100,33136,564282,844291,0.11769174701552221,0.09770028558545017,0.6483721719937179,0.06270657149378264
0.622414244942127,61169,33161,564213,844266,0.11782038925087582,0.0978106181501866,0.6484575426693523,0.06276912102602526
0.6223566527646609,61947,33566,563435,843861,0.1192645784182845,0.09905465779315682,0.6485713986577744,0.0635563135435042
0.6222664396394882,62199,33718,563183,843709,0.11973112038945964,0.0994576115078464,0.6484669036771376,0.06382514344803632
0.6222217977655857,63225,34575,562157,842852,0.12161797202969384,0.10109820877479685,0.6464723926380368,0.06507813035455604
0.6222072735932573,63333,34659,562049,842768,0.12181672000984797,0.10127090322394952,0.6463078618662748,0.06520589110126436
0.6220629705910192,63593,34870,561789,842557,0.12229465409687956,0.10168664912005781,0.6458568193128383,0.06551930418303324
