id_municipio,nome_municipio,sigla_uf,regiao,avaliacoes,municipios,risco_medio,risco_observado,risco_ponderado,observado_ponderado,soma_pesos,erro_risco_pp,meta_alfabetizacao,taxa_alfabetizacao_prevista_pct,gap_referencia_meta_2024_pp,gap_cenario_80pct_pp
2907509,Catu,BA,Nordeste,231,1,0.6429854971160931,0.6060606060606061,0.6429854971160931,0.6060606060606061,231.0,3.692489105548702,49.32,35.70145028839069,-13.618549711609312,-44.29854971160931
2914901,Itacaré,BA,Nordeste,218,1,0.6429854971160931,0.6880733944954128,0.6429854971160931,0.6880733944954128,218.0,-4.5087897379319735,39.28,35.70145028839069,-3.5785497116093126,-44.29854971160931
2928000,Santaluz,BA,Nordeste,199,1,0.6429854971160931,0.7085427135678392,0.6429854971160931,0.7085427135678392,199.0,-6.555721645174605,32.3,35.70145028839069,3.4014502883906914,-44.29854971160931
2905602,Camacan,BA,Nordeste,191,1,0.6429854971160931,0.7539267015706806,0.6429854971160931,0.7539267015706806,191.0,-11.094120445458755,40.84,35.70145028839069,-5.138549711609315,-44.29854971160931
2926301,Riachão do Jacuípe,BA,Nordeste,172,1,0.6429854971160931,0.6162790697674418,0.6429854971160931,0.6162790697674418,172.0,2.670642734865125,44.85,35.70145028839069,-9.148549711609313,-44.29854971160931
2917300,Ituberá,BA,Nordeste,120,1,0.6429854971160931,0.7083333333333334,0.6429854971160931,0.7083333333333334,120.0,-6.534783621724028,49.86,35.70145028839069,-14.15854971160931,-44.29854971160931
2930154,Serra do Ramalho,BA,Nordeste,439,1,0.6423935830307552,0.7334851936218679,0.6423935830307552,0.7334851936218679,439.0,-9.10916105911127,42.83,35.76064169692448,-7.069358303075518,-44.23935830307552
2916500,Itapicuru,BA,Nordeste,326,1,0.6423935830307552,0.48773006134969327,0.6423935830307552,0.48773006134969327,326.0,15.466352168106196,35.25,35.76064169692448,0.5106416969244805,-44.23935830307552
2906303,Canavieiras,BA,Nordeste,272,1,0.6423935830307552,0.7132352941176471,0.6423935830307552,0.7132352941176471,272.0,-7.084171108689185,36.12,35.76064169692448,-0.35935830307551697,-44.23935830307552
2928208,Santana,BA,Nordeste,230,1,0.6423935830307552,0.6130434782608696,0.6423935830307552,0.6130434782608696,230.0,2.9350104769885643,37.01,35.76064169692448,-1.2493583030755175,-44.23935830307552
2923001,Nova Viçosa,BA,Nordeste,481,1,0.6412127060030921,0.6278586278586279,0.6412127060030921,0.6278586278586279,481.0,1.335407814446421,60.29,35.87872939969079,-24.41127060030921,-44.12127060030921
2914653,Itabela,BA,Nordeste,313,1,0.6412127060030921,0.7507987220447284,0.6412127060030921,0.7507987220447284,313.0,-10.958601604163631,38.14,35.87872939969079,-2.26127060030921,-44.12127060030921
2908408,Conceição do Coité,BA,Nordeste,446,1,0.6410693767959604,0.6905829596412556,0.6410693767959604,0.6905829596412556,446.0,-4.951358284529517,35.73,35.893062320403956,0.1630623204039594,-44.106937679596044
2930105,Senhor do Bonfim,BA,Nordeste,487,1,0.6410693767959603,0.7597535934291582,0.6410693767959603,0.7597535934291582,487.0,-11.868421663319783,27.01,35.89306232040397,8.883062320403969,-44.10693767959603
2930501,Serrinha,BA,Nordeste,487,1,0.6410693767959603,0.8008213552361396,0.6410693767959603,0.8008213552361396,487.0,-15.97519784401793,32.42,35.89306232040397,3.473062320403969,-44.10693767959603
2913705,Inhambupe,BA,Nordeste,229,1,0.6360573314046835,0.6986899563318777,0.6360573314046835,0.6986899563318777,229.0,-6.263262492719424,36.61,36.394266859531655,-0.2157331404683447,-43.605733140468345
2914703,Itaberaba,BA,Nordeste,375,1,0.6343471369635922,0.5893333333333334,0.6343471369635922,0.5893333333333334,375.0,4.501380363025886,48.23,36.565286303640775,-11.664713696359222,-43.434713696359225
2915601,Itamaraju,BA,Nordeste,556,1,0.6337490588256189,0.6258992805755396,0.6337490588256189,0.6258992805755396,556.0,0.7849778250079376,49.84,36.62509411743811,-13.214905882561894,-43.37490588256189
2801207,Canindé de São Francisco,SE,Nordeste,460,1,0.6335426789486269,0.7304347826086957,0.6335426789486269,0.7334988835792242,479.21,-9.689210366006872,29.89,36.645732105137306,6.755732105137305,-43.354267894862694
2919504,Livramento de Nossa Senhora,BA,Nordeste,402,1,0.6334610003355738,0.6194029850746269,0.6334610003355738,0.6194029850746269,402.0,1.4058015260946966,44.87,36.653899966442616,-8.216100033557382,-43.346100033557384
2926608,Ribeira do Pombal,BA,Nordeste,501,1,0.6325449479864783,0.592814371257485,0.6325449479864783,0.592814371257485,501.0,3.973057672899327,41.2,36.74550520135217,-4.454494798647836,-43.25449479864783
2928802,Santo Estêvão,BA,Nordeste,499,1,0.6325449479864783,0.6813627254509018,0.6325449479864783,0.6813627254509018,499.0,-4.881777746442351,39.59,36.74550520135217,-2.844494798647837,-43.25449479864783
2929909,Seabra,BA,Nordeste,406,1,0.6325449479864783,0.6502463054187192,0.6325449479864783,0.6502463054187192,406.0,-1.7701357432240883,53.8,36.74550520135217,-17.05449479864783,-43.25449479864783
2933208,Vera Cruz,BA,Nordeste,405,1,0.6325449479864783,0.6172839506172839,0.6325449479864783,0.6172839506172839,405.0,1.5260997369194396,45.5,36.74550520135217,-8.754494798647833,-43.25449479864783
2928604,Santo Amaro,BA,Nordeste,395,1,0.6325449479864783,0.6303797468354431,0.6325449479864783,0.6303797468354431,395.0,0.21652011510352454,49.62,36.74550520135217,-12.87449479864783,-43.25449479864783
2927705,Santa Cruz Cabrália,BA,Nordeste,364,1,0.6325449479864783,0.6263736263736264,0.6325449479864783,0.6263736263736264,364.0,0.6171321612851943,46.67,36.74550520135217,-9.924494798647835,-43.25449479864783
2910602,Esplanada,BA,Nordeste,359,1,0.6325449479864783,0.7604456824512534,0.6325449479864783,0.7604456824512534,359.0,-12.790073446477512,26.95,36.74550520135217,9.795505201352167,-43.25449479864783
2913200,Ibotirama,BA,Nordeste,289,1,0.6325449479864783,0.671280276816609,0.6325449479864783,0.671280276816609,289.0,-3.8735328830130644,48.37,36.74550520135217,-11.62449479864783,-43.25449479864783
2929503,São Sebastião do Passé,BA,Nordeste,269,1,0.6325449479864783,0.5390334572490706,0.6325449479864783,0.5390334572490706,269.0,9.351149073740771,54.89,36.74550520135217,-18.144494798647834,-43.25449479864783
