fold,feature,repeat,baseline_ap,permuted_ap,decrease_ap
1,participacao_agropecuaria_2020,4,0.5479822504177976,0.5475191286031306,0.0004631218146670113
1,participacao_servicos_publicos_2020,0,0.5479822504177976,0.5409561241213438,0.007026126296453827
1,participacao_servicos_publicos_2020,1,0.5479822504177976,0.5426139043105527,0.0053683461072449035
1,participacao_servicos_publicos_2020,2,0.5479822504177976,0.5465662971423315,0.0014159532754660642
1,participacao_servicos_publicos_2020,3,0.5479822504177976,0.5413931487511736,0.006589101666623964
1,participacao_servicos_publicos_2020,4,0.5479822504177976,0.5429786675157511,0.0050035829020464995
2,rede_nome,0,0.5470724885066826,0.5452263136789347,0.0018461748277478485
2,rede_nome,1,0.5470724885066826,0.544801748441735,0.0022707400649475407
2,rede_nome,2,0.5470724885066826,0.5450679952426811,0.002004493264001428
2,rede_nome,3,0.5470724885066826,0.5459762351424458,0.0010962533642367989
2,rede_nome,4,0.5470724885066826,0.5455643876382903,0.0015081008683922592
2,sigla_uf,0,0.5470724885066826,0.42551820609220015,0.1215542824144824
2,sigla_uf,1,0.5470724885066826,0.4248361887240124,0.12223629978267014
2,sigla_uf,2,0.5470724885066826,0.41964911863997145,0.1274233698667111
2,sigla_uf,3,0.5470724885066826,0.40893614090751623,0.13813634759916632
2,sigla_uf,4,0.5470724885066826,0.4152229540421388,0.13184953446454373
2,populacao_2021,0,0.5470724885066826,0.5451002080210029,0.001972280485679656
2,populacao_2021,1,0.5470724885066826,0.5462925157663113,0.0007799727403712264
2,populacao_2021,2,0.5470724885066826,0.5449237625460559,0.0021487259606266518
2,populacao_2021,3,0.5470724885066826,0.5411536739899365,0.005918814516746029
2,populacao_2021,4,0.5470724885066826,0.5424362700487827,0.004636218457899854
2,pib_per_capita_2020,0,0.5470724885066826,0.5439269547583795,0.0031455337483030643
2,pib_per_capita_2020,1,0.5470724885066826,0.5445885079953938,0.0024839805112887303
2,pib_per_capita_2020,2,0.5470724885066826,0.5439365116540966,0.003135976852585931
2,pib_per_capita_2020,3,0.5470724885066826,0.5459535658115614,0.0011189226951211495
2,pib_per_capita_2020,4,0.5470724885066826,0.5459029643148127,0.0011695241918698862
2,participacao_agropecuaria_2020,0,0.5470724885066826,0.5487068756287168,-0.001634387122034231
2,participacao_agropecuaria_2020,1,0.5470724885066826,0.5486848868936077,-0.0016123983869251735
2,participacao_agropecuaria_2020,2,0.5470724885066826,0.5477785304301986,-0.0007060419235160875
2,participacao_agropecuaria_2020,3,0.5470724885066826,0.5485112946486566,-0.0014388061419740028
2,participacao_agropecuaria_2020,4,0.5470724885066826,0.548050727804129,-0.0009782392974464482
2,participacao_servicos_publicos_2020,0,0.5470724885066826,0.5439305690139153,0.003141919492767209
2,participacao_servicos_publicos_2020,1,0.5470724885066826,0.5426441185549682,0.0044283699517143615
2,participacao_servicos_publicos_2020,2,0.5470724885066826,0.547909040048769,-0.0008365515420863945
2,participacao_servicos_publicos_2020,3,0.5470724885066826,0.5423914666975114,0.004681021809171182
2,participacao_servicos_publicos_2020,4,0.5470724885066826,0.5427531781557816,0.00431931035090094
